korean_name,lookup_name,note
나이아신아마이드,Niacinamide,비타민 B3 유도체
니코틴아마이드,Nicotinamide,나이아신아마이드와 동일 물질
레티놀,Retinol,비타민 A
레티노익산,Tretinoin,올트랜스 레티노산
트레티노인,Tretinoin,의약품명
아데노신,Adenosine,주름개선 고시원료
알부틴,Arbutin,미백 고시원료
알파알부틴,alpha-Arbutin,미백 고시원료
하이드로퀴논,Hydroquinone,의약품 미백성분
코직산,Kojic acid,미백 성분
아스코르빈산,Ascorbic acid,비타민 C
비타민씨,Ascorbic acid,아스코르브산
살리실산,Salicylic acid,BHA
카페인,Caffeine,
멘톨,Menthol,청량감
캡사이신,Capsaicin,TRPV1 작용제
레스베라트롤,Resveratrol,폴리페놀
판테놀,Panthenol,프로비타민 B5
알란토인,Allantoin,진정 성분
요소,Urea,보습 성분
우레아,Urea,보습 성분
히알루론산,Hyaluronic acid,보습 성분
바쿠치올,Bakuchiol,레티놀 대체 후보
아젤라산,Azelaic acid,
글리콜산,Glycolic acid,AHA
젖산,Lactic acid,AHA
락틱산,Lactic acid,AHA
토코페롤,tocopherol acetate,비타민 E (아세테이트 형태)
카페인산,Caffeic acid,폴리페놀
페룰산,Ferulic acid,폴리페놀
에탄올,Ethanol,
글리세린,Glycerin,보습 성분
계피알데하이드,Cinnamaldehyde,TRPA1 작용제
신남알데하이드,Cinnamaldehyde,TRPA1 작용제
