normalised,display_name,smiles,inchikey,source,is_ingredient_name
0 9 nacl,0.9% nacl,Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ChEMBL,False
0 9 saline,0.9% saline,Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ChEMBL,False
0 9 saline solution,0.9% saline solution,Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ChEMBL,False
1 1 1 tce,"1,1,1-tce",CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,ChEMBL,False
1 1 1 trichloro ethane,"1,1,1-trichloro-ethane",CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,ChEMBL,False
1 1 1 trichloroethane,"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,ChEMBL,False
1 10 4 amino 2 methylquinolin 1 ium 1 yl decyl 2 methylquinolin 1 ium 4 amine,1-[10-(4-amino-2-methylquinolin-1-ium-1-yl)decyl]-2-methylquinolin-1-ium-4-amine,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,GtoPdb,False
1 14c arachidonic acid,[1-14c]arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,YZXBAPSDXZZRGB-UHFFFAOYSA-N,BindingDB,False
1 2 2 4 dichlorophenyl 2 2 4 dichlorophenyl methoxy ethyl imidazole,"1-[2-(2,4-dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy]ethyl]imidazole",Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,GtoPdb,False
1 2 2 chlorothiophen 3 yl methoxy 2 2 4 dichlorophenyl ethyl imidazole,"1-[2-[(2-chlorothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole",Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,QXHHHPZILQDDPS-UHFFFAOYSA-N,GtoPdb,False
1 2 2 hydroxy 3 propylaminopropoxy phenyl 3 phenylpropan 1 one,1-[2-(2-hydroxy-3-propylaminopropoxy)phenyl]-3-phenylpropan-1-one,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-UHFFFAOYSA-N,GtoPdb,False
1 2 3 4 tetrahydropyrimidine 2 4 dione,"1,2,3,4-tetrahydropyrimidine-2,4-dione",O=c1cc[nH]c(=O)[nH]1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,GtoPdb,False
1 2 3 dihydro 1 4 benzodioxin 6 yl 4 phenylbutane 1 4 dione,"1-(2,3-dihydro-1,4-benzodioxin-6-yl)-4-phenylbutane-1,4-dione",O=C(CCC(=O)c1ccc2c(c1)OCCO2)c1ccccc1,AOCDRSSVFUCURK-UHFFFAOYSA-N,GtoPdb,False
1 2 3 trichloropropane,"1,2,3-trichloropropane",ClCC(Cl)CCl,CFXQEHVMCRXUSD-UHFFFAOYSA-N,ChEMBL,True
1 2 4 dihydroxy 6 2s 3r 4s 5s 6r 3 4 5 trihydroxy 6 hydroxymethyl oxan 2 yl oxy phenyl 3 4 hydroxyphenyl propan 1 one,"1-(2,4-dihydroxy-6-{[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)-3-(4-hydroxyphenyl)propan-1-one",O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,IOUVKUPGCMBWBT-UHFFFAOYSA-N,GtoPdb,False
1 2 4 triazole,"1,2,4-triazole",c1nc[nH]n1,NSPMIYGKQJPBQR-UHFFFAOYSA-N,ChEMBL,True
1 2 9 10 tetramethoxy 6 methyl 5 6 6a 7 tetrahydro 4h dibenzo de g quinoline,"1,2,9,10-tetramethoxy-6-methyl-5,6,6a,7-tetrahydro-4h-dibenzo[de,g]quinoline",COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,RUZIUYOSRDWYQF-UHFFFAOYSA-N,BindingDB,False
1 2 azocan 1 yl ethyl guanidine,1-[2-(azocan-1-yl)ethyl]guanidine,N=C(N)NCCN1CCCCCCC1,ACGDKVXYNVEAGU-UHFFFAOYSA-N,GtoPdb,False
1 2 benzenedicarboxylic acid 1 2 dimethyl ester,"1,2-benzenedicarboxylic acid 1,2-dimethyl ester",COC(=O)c1ccccc1C(=O)OC,NIQCNGHVCWTJSM-UHFFFAOYSA-N,BindingDB,False
1 2 benzopyrone,"1,2-benzopyrone",O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,ChEMBL,False
1 2 chloro 1 2 bis 4 methoxyphenyl ethenyl 4 methoxybenzene,"1-[2-chloro-1,2-bis(4-methoxyphenyl)ethenyl]-4-methoxybenzene",COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,BFPSDSIWYFKGBC-UHFFFAOYSA-N,GtoPdb,False
1 2 chlorophenyl di phenyl methyl imidazole,1-[(2-chlorophenyl)-di(phenyl)methyl]imidazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,GtoPdb,False
1 2 dibromoethane,"1,2-dibromoethane",BrCCBr,PAAZPARNPHGIKF-UHFFFAOYSA-N,ChEMBL,True
1 2e 4e 5 1 3 benzodioxol 5 yl penta 2 4 dienoyl piperidine,"1-[(2e,4e)-5-(1,3-benzodioxol-5-yl)penta-2,4-dienoyl]piperidine",O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,MXXWOMGUGJBKIW-UHFFFAOYSA-N,BindingDB,False
