uniprot,gene,skin_score,tier,cell_type_preferred,worth_curating,evidence_exists_elsewhere,work_needed,druggable_class,structural_family,protein_class,description
P02792,FTL,0.7491057244718364,high,fibroblasts,True,False,literature or in-house data,True,False,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Ferritin light chain
Q96FX8,PERP,0.7463042568040001,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",P53 apoptosis effector related to PMP22
P07355,ANXA2,0.7065121603008631,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Annexin A2
P55000,SLURP1,0.668477062514724,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",Secreted LY6/PLAUR domain containing 1
Q9H3M7,TXNIP,0.6645245858911533,high,vascular endothelial cells,True,False,literature or in-house data,True,False,"Cancer-related genes, Predicted intracellular proteins, Transporters",Thioredoxin interacting protein
P09758,TACSTD2,0.661239240486488,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins",Tumor associated calcium signal transducer 2
Q01628,IFITM3,0.6575840754220454,high,vascular endothelial cells,True,False,literature or in-house data,True,False,"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Interferon induced transmembrane protein 3
Q96FQ6,S100A16,0.6500459675297219,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Predicted intracellular proteins, Transporters",S100 calcium binding protein A16
P22352,GPX3,0.6476293657386953,high,fibroblasts,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Glutathione peroxidase 3
P40126,DCT,0.6343135058349141,high,melanocytes,True,False,literature or in-house data,True,False,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Dopachrome tautomerase
Q9Y287,ITM2B,0.6259663778989834,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters",Integral membrane protein 2B
P17643,TYRP1,0.6217124359708394,high,melanocytes,True,False,literature or in-house data,True,False,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Tyrosinase related protein 1
P21926,CD9,0.6213243194273191,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Transporters",CD9 molecule
O95467,GNAS,0.6176364357360973,high,lymphatic endothelial cells,True,False,literature or in-house data,True,False,"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",GNAS complex locus
Q14515,SPARCL1,0.6026331737364683,high,vascular endothelial cells,True,False,literature or in-house data,True,False,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters",SPARC like 1
P00156,MT-CYB,0.8803555664680491,very_high,suprabasal keratinocytes,False,True,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins",Mitochondrially encoded cytochrome b
P03897,MT-ND3,0.8730663517886461,very_high,basal keratinocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
P03891,MT-ND2,0.8438322675910722,very_high,basal keratinocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
P03915,MT-ND5,0.778806984058722,high,suprabasal keratinocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
P03901,MT-ND4L,0.7394982475321479,high,melanocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
P02795,MT2A,0.7220553485318841,high,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Metallothionein 2A
P01100,FOS,0.7194859137708474,high,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Predicted intracellular proteins, Transcription factors","Fos proto-oncogene, AP-1 transcription factor subunit"
P84243,H3-3B,0.7037878884673521,high,suprabasal keratinocytes,False,True,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",H3.3 histone B
P03923,MT-ND6,0.6771584158137698,high,lymphatic endothelial cells,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
P02533,KRT14,0.907667422083825,very_high,basal keratinocytes,False,False,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 14
P13645,KRT10,0.8880445130927439,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Keratin 10
P04264,KRT1,0.8700733702093121,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 1
P60985,KRTDAP,0.840461665121819,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Plasma proteins, Predicted secreted proteins",Keratinocyte differentiation associated protein
P13647,KRT5,0.836846142548402,very_high,basal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 5
P62945,RPL41,0.8138064519950935,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L41
Q6E0U4,DMKN,0.8120014668174058,very_high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Dermokine
P62910,RPL32,0.7924566705957024,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L32
P05388,RPLP0,0.7759481785541342,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein lateral stalk subunit P0
P47914,RPL29,0.770252052638253,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L29
Q6UWP8,SBSN,0.7558496831248269,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Suprabasin
P63261,ACTG1,0.7482006823930725,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Actin gamma 1
P07585,DCN,0.7448139069635286,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Decorin
P05090,APOD,0.7237968306873636,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Apolipoprotein D
Q14210,LY6D,0.7205762501360812,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted membrane proteins",Lymphocyte antigen 6 family member D
P02538,KRT6A,0.720008033735299,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 6A
E9PAV3,NACA,0.7190010493625021,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Nascent polypeptide associated complex subunit alpha
