uniprot,gene,skin_score,tier,cell_type_preferred,worth_curating,evidence_exists_elsewhere,work_needed,druggable_class,structural_family,protein_class,description
P41222,PTGDS,0.5632609699200415,medium,fibroblasts,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Prostaglandin D2 synthase
Q03135,CAV1,0.5449375078314358,medium,basal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Caveolin 1
P12830,CDH1,0.5179493016717198,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Cadherin 1
Q96DU7,ITPKC,0.4849534521597678,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Inositol-trisphosphate 3-kinase C
O60895,RAMP2,0.4814372270570307,medium,vascular endothelial cells,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Receptor activity modifying protein 2
O00217,NDUFS8,0.4646526610367967,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",NADH:ubiquinone oxidoreductase core subunit S8
P15260,IFNGR1,0.4447576093767589,medium,vascular endothelial cells,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Interferon gamma receptor 1
Q9Y2U2,KCNK7,0.437540408830686,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels",Potassium two pore domain channel subfamily K member 7
Q15126,PMVK,0.4366787206369709,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Phosphomevalonate kinase
Q15165,PON2,0.4356248275681693,medium,melanocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins",Paraoxonase 2
Q96BI3,APH1A,0.4351509866186761,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Predicted membrane proteins, Transporters","Aph-1 homolog A, gamma-secretase subunit"
Q13586,STIM1,0.428073521521995,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Stromal interaction molecule 1
O60896,RAMP3,0.4228222087137328,medium,vascular endothelial cells,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"FDA approved drug targets, Predicted membrane proteins, Transporters",Receptor activity modifying protein 3
Q76I76,SSH2,0.4223385526966877,medium,melanocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Enzymes, Predicted intracellular proteins",Slingshot protein phosphatase 2
P62837,UBE2D2,0.4192831227225002,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Ubiquitin conjugating enzyme E2 D2
Q3T906,GNPTAB,0.4116098622226297,medium,melanocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
Q9Y4E8,USP15,0.4085461479862415,medium,suprabasal keratinocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Ubiquitin specific peptidase 15
P11532,DMD,0.4040647831710875,medium,melanocytes,True,True,already in BindingDB/GtoPdb - merge the source,True,False,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters",Dystrophin
P02792,FTL,0.7491057244718364,high,fibroblasts,True,False,literature or in-house data,True,False,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Ferritin light chain
Q96FX8,PERP,0.7463042568040001,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",P53 apoptosis effector related to PMP22
P07355,ANXA2,0.7065121603008631,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Annexin A2
P55000,SLURP1,0.668477062514724,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",Secreted LY6/PLAUR domain containing 1
Q9H3M7,TXNIP,0.6645245858911533,high,vascular endothelial cells,True,False,literature or in-house data,True,False,"Cancer-related genes, Predicted intracellular proteins, Transporters",Thioredoxin interacting protein
P09758,TACSTD2,0.661239240486488,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins",Tumor associated calcium signal transducer 2
Q01628,IFITM3,0.6575840754220454,high,vascular endothelial cells,True,False,literature or in-house data,True,False,"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Interferon induced transmembrane protein 3
Q96FQ6,S100A16,0.6500459675297219,high,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Predicted intracellular proteins, Transporters",S100 calcium binding protein A16
P22352,GPX3,0.6476293657386953,high,fibroblasts,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Glutathione peroxidase 3
